1.1001,-11.98,0
0.7,-12.24,0
0.5,-12.51,0
0.7999,-12.63,0
0.7999,-12.74,0
1.1001,-12.8,0
0.7,-12.86,0
1.6001,-12.64,3.3995
1.1001,-10.72,76.606
3.3999,-8.9802,139.51
2.3001,-7.2797,202.5
2.1,-6.06,219.7
2.5001,-5.31,211.5
2.8999,-5.1901,152.9
2.3001,-5.4904,112.2
3.5999,-6.2303,58.398
2.3001,-7.3099,1.8007
2.8,-8.08,0
1.6999,-8.8602,0
2.0001,-9.6303,0
2.0001,-10.4,0
0.9999,-11.17,0
0.6001,-11.94,0
0.5,-12.71,0
0.6001,-13.66,0
2.1,-14.62,0
3.3999,-15.58,0
2.8999,-16.06,0
3.5999,-16.53,0
2.5001,-16.85,0
3.1,-17.17,0
1.2,-16.9,5.4951
1.6001,-13.81,130.8
1.3001,-10.68,258.89
1.6999,-7.7897,366.2
0.9999,-5.3998,432.5
2.1,-3.8797,424.1
2.5001,-3.3495,345.7
1.3001,-3.7003,246.89
2.1,-5.1297,122.1
1.4,-7.2696,3.8963
1.6999,-8.4802,0
0.7999,-9.6797,0
0.5,-10.89,0
0.2999,-12.1,0
0.2,-13.31,0
0.2,-14.51,0
0,-15.72,0
0,-16.93,0
0,-18.2,0
0.2,-19.47,0
0.0999,-20.13,0
0.0999,-20.79,0
0.0999,-21.26,0
0.0999,-21.72,0
0.2,-21.54,4.9053
0.2999,-17.81,157.4
0.6001,-14.09,310.1
2.0001,-10.85,424
2.1,-8.33,484.5
3.1,-6.6699,483.81
2.3001,-5.9199,425.7
1.3001,-6.1296,313.01
2.1,-7.7101,163.1
4.2,-10.31,5.2002
6.8999,-11.42,0
5.4,-12.53,0
3.1,-13.64,0
2.5001,-14.75,0
2.8,-15.86,0
2.1,-16.96,0
2.3001,-18.07,0
2.0001,-18.92,0
1.6999,-19.79,0
3.1,-20.66,0
3.7001,-21.11,0
4,-21.55,0
2.1,-21.85,0
0.9999,-22.16,0
0.7999,-21.92,4.9984
0.9999,-18.46,139.3
0.7,-14.9,279.51
1.3001,-11.85,378
1.2,-9.4298,435.79
2.8,-7.7797,440.99
1.3001,-7.0096,386.6
0.9,-7.0499,293.2
0.9999,-8.5003,149.1
1.2,-10.92,5.6038
1.6999,-11.95,0
1.6001,-12.98,0
2.0001,-14.02,0
0.7,-15.05,0
1.1001,-16.08,0
0.9999,-17.11,0
0.9,-18.15,0
2.3001,-19.1,0
3.1,-20.11,0
2.8999,-21.12,0
2.0001,-21.65,0
2.8,-22.19,0
2.0001,-22.57,0
2.5001,-22.95,0
1.4,-22.74,5.1071
1.3001,-19.42,137.1
1.2,-15.99,275.5
0.9999,-12.92,383.29
1.1001,-10.66,426.49
1.2,-9.0598,438.8
2.5001,-8.2696,393.69
2.3001,-8.3199,296.89
2.3001,-9.6999,158.6
3.5999,-12.13,7.4045
4.5,-12.94,0
3.7001,-13.74,0
1.4,-14.55,0
2.5001,-15.36,0
2.3001,-16.16,0
1.6999,-16.97,0
2.1,-17.77,0
4.2,-18.32,0
4.5,-18.85,0
4.2,-19.39,0
3.7001,-19.65,0
3.5999,-19.91,0
3.1,-20.08,0
3.3999,-20.25,0
3.1,-19.95,5.402
2.8,-16.19,143.9
1.4,-12.91,255.69
1.6999,-10.03,347.09
2.5001,-7.5901,412.8
3.7001,-6.1003,397.09
4.5,-5.2496,368.21
4.9999,-5.1297,291.89
3.7001,-6.4904,144.1
1.6999,-8.83,7.6994
0.6001,-9.7502,0
0.6001,-10.66,0
0.2999,-11.58,0
0.5,-12.49,0
0.2999,-13.41,0
0.2999,-14.33,0
0.2,-15.24,0
0.2,-16.2,0
0.0999,-17.22,0
0.2,-18.23,0
0.2999,-18.77,0
0.2,-19.3,0
0.2,-19.68,0
0.0999,-20.05,0
0.2,-19.85,4.9984
0.2,-15.96,157.61
0.2999,-12.05,311.21
0.5,-8.6001,428.99
0.9,-5.8796,494.3
0.6001,-4.04,499.2
1.4,-3.1701,440.9
1.6999,-3.3202,324.8
0.9,-4.9502,171.79
1.3001,-7.7202,6.9077
1.6001,-8.5397,0
1.6999,-9.3702,0
2.0001,-10.19,0
1.2,-11.01,0
1.4,-11.83,0
1.2,-12.66,0
1.2,-13.48,0
1.1001,-14.06,0
1.2,-14.63,0
1.4,-15.2,0
0.7,-15.48,0
0.4001,-15.76,0
0.2,-15.94,0
0.0999,-16.12,0
0.2,-16.01,2.0956
0.2999,-15.52,21.204
0.6001,-15.05,39.599
1.6001,-14.78,41.695
2.3001,-14.55,48.106
3.5999,-14.44,42.595
4.9999,-12.17,351.91
3.3999,-10.98,267.2
1.2,-10.75,143.11
2.8,-11.57,6.9077
3.1,-12.22,0
2.5001,-12.86,0
2.0001,-13.51,0
2.1,-14.15,0
4,-14.8,0
4,-15.45,0
4.9999,-16.09,0
3.3999,-16.79,0
4.2,-17.49,0
4.2,-18.18,0
3.5999,-18.52,0
2.8999,-18.87,0
2.1,-19.09,0
3.1,-19.32,0
3.1,-19.12,3.8031
1.6999,-15.51,141.2
2.8,-12.25,258.89
2.8999,-9.5103,343.49
3.1,-7.5095,377.1
2.0001,-5.93,405.4
1.3001,-5.0198,375.9
1.6001,-4.9401,283.5
1.3001,-6.3897,126.4
1.3001,-8.6102,7.2027
3.1,-9.6504,0
3.7001,-10.69,0
3.1,-11.74,0
2.8999,-12.78,0
2.5001,-13.82,0
1.6999,-14.87,0
2.0001,-15.91,0
1.6999,-16.98,0
3.3999,-18.11,0
2.0001,-19.25,0
1.3001,-19.84,0
1.6999,-20.44,0
2.3001,-20.85,0
1.6999,-21.27,0
1.4,-21.23,2.2043
1.6001,-19.72,70.894
3.5999,-18.89,95.296
5.4,-18.58,88.295
4,-18.76,50.496
4.9999,-18.5,104.41
6.8999,-16.25,423.79
9.4,-15.39,279.1
8.7,-15.11,207.29
5.6999,-16.19,15.104
14.2,-16.99,0
10,-17.8,0
7.5999,-18.61,0
4.2,-19.42,0
1.6999,-20.22,0
1.6999,-21.03,0
2.8,-21.84,0
1.6001,-22.4,0
1.6001,-22.94,0
2.8,-23.48,0
2.0001,-23.74,0
1.6001,-24,0
2.8,-24.17,0
2.3001,-24.34,0
2.0001,-24.02,5.8056
4.5,-20.45,141.6
4.9999,-16.88,276.99
4.5,-13.56,394.5
3.3999,-11,447.99
4,-9.2503,451.7
1.6001,-8.6999,357.7
6.3999,-9.1999,250.29
7.5999,-10.86,120.89
7.5999,-13.19,7.2027
11.2,-13.99,0
6.8999,-14.79,0
4.5,-15.59,0
3.3999,-16.38,0
3.3999,-17.18,0
2.8999,-17.98,0
3.7001,-18.78,0
6.8999,-19.65,0
5.6999,-20.62,0
3.3999,-21.6,0
2.0001,-22.14,0
2.0001,-22.68,0
1.6999,-23.08,0
2.8999,-23.47,0
1.1001,-23.45,2.5923
0.7999,-21.68,82.396
0.9,-19.6,182.19
0.7999,-18.04,231.8
0.4001,-17.35,209.5
0.9999,-16.58,252.5
1.2,-16.38,205.31
1.1001,-16.19,217.9
0.7,-17.03,89.894
1.2,-18.41,2.9959
2.1,-18.67,0
3.1,-18.94,0
0.9999,-19.2,0
1.2,-19.46,0
0.7,-19.72,0
0.4001,-19.99,0
0.2,-20.25,0
0.2999,-20.06,0
0.5,-19.79,0
0.9999,-19.52,0
2.8,-19.34,0
2.0001,-19.16,0
2.8999,-19.01,0
3.5999,-18.86,0
2.8999,-18.55,3.3995
2.3001,-16.38,69.202
2.8,-16.52,25.597
2.8999,-14.77,137.7
1.6999,-12.01,270.5
1.6001,-10.46,239.8
1.6001,-9.0003,276.2
1.1001,-8.4399,205.7
0.9,-8.8703,110.2
0.9999,-10.25,11.394
1.6001,-10.69,0
4,-11.13,0
2.8999,-11.57,0
1.6999,-12.01,0
1.6001,-12.45,0
3.3999,-12.89,0
1.6999,-13.33,0
1.6001,-14.15,0
1.3001,-15.03,0
0.4001,-15.9,0
0.2999,-16.37,0
0.2999,-16.83,0
0.2999,-17.16,0
0.2,-17.48,0
0.2,-17.16,7.4045
0.5,-13.85,138.7
0.6001,-10.85,251.91
0.4001,-7.8703,370.3
0.2999,-5.8796,390.99
0.0999,-5.3403,301.5
0,-5.2102,269.11
0.2,-5.2002,255.69
0.4001,-6.3201,137.7
0.5,-8.3904,4.5017
0.7,-9.2704,0
0.7,-10.14,0
1.3001,-11.02,0
2.5001,-11.9,0
1.6999,-12.77,0
2.0001,-13.65,0
1.6999,-14.53,0
2.0001,-15.18,0
2.3001,-15.89,0
2.8,-16.6,0
4,-16.98,0
4.5,-17.36,0
4.7999,-17.62,0
4.7999,-17.89,0
5.4,-17.55,7.6063
3.5999,-13.05,185.7
2.5001,-8.3199,377.1
1.2,-6.6204,327.19
0.7,-6.8896,211.7
0.6001,-8.9197,85.408
1.1001,-8.6304,226.7
2.3001,-7.9299,271.99
4.5,-8.1698,192.3
4,-9.97,8.5997
4.7999,-10.63,0
8.0999,-11.3,0
8.7,-11.96,0
7.5999,-12.63,0
7.5999,-13.3,0
6.8999,-13.96,0
4,-14.63,0
2.3001,-15.08,0
2.8,-15.51,0
2.5001,-15.94,0
0.9999,-16.16,0
0.5,-16.37,0
0.7,-16.51,0
1.2,-16.64,0
1.2,-16.25,6.7991
0.9999,-12.57,138.29
2.8,-8.6597,281.49
2.3001,-5.8201,344.5
2.8,-3.5501,394.59
3.1,-2.0804,389.5
1.2,-1.0402,387.8
2.0001,-0.9404,290.79
3.5999,-2.0401,173.7
2.3001,-4.42,16.501
1.2,-5.3403,0
2.1,-6.2596,0
2.0001,-7.1799,0
0.7999,-8.1002,0
0.5,-9.0204,0
0.7999,-9.9398,0
0.9999,-10.86,0
1.3001,-11.82,0
1.4,-12.84,0
2.5001,-13.85,0
2.1,-14.38,0
0.7999,-14.91,0
0.5,-15.28,0
0.4001,-15.64,0
1.1001,-15.32,7.0009
2.1,-11.22,166
3.3999,-7.3099,314.29
1.6999,-3.92,425.39
3.3999,-1.3103,483
2.8999,0.4304,484.19
4,1.1996,423.41
6.8999,1.1099,324.69
6.3999,-0.3397,186
5.4,-3.04,13.8
3.1,-4.0903,0
2.5001,-5.1498,0
1.2,-6.2001,0
1.2,-7.2596,0
2.3001,-8.3099,0
2.8999,-9.3702,0
2.5001,-10.42,0
2.0001,-11.28,0
1.1001,-12.2,0
1.6999,-13.12,0
0.4001,-13.6,0
0.2999,-14.09,0
0.7999,-14.44,0
0.2999,-14.79,0
0.7999,-14.49,6.7059
0.9999,-10.82,146.51
0.7,-7.44,270.6
